date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:36	38784/38784	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Aug%202020%2013:01:31%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-solid-900.woff2	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-solid-900.woff2	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:37	48704/48704	---M--	200	added ('OK')	font/woff	date:Wed,%2005%20Aug%202020%2013:01:30%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-solid-900.woff	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-solid-900.woff	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:39	101932/101932	---M--	200	added ('OK')	font/ttf	date:Wed,%2005%20Aug%202020%2013:01:31%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-solid-900.ttf	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-solid-900.ttf	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:41	378215/378215	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2005%20Aug%202020%2013:01:30%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-solid-900.svg	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-solid-900.svg	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:41	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Aug%202020%2013:05:25%20GMT	https://www.brrsoftwares.com/assets/fonts/themify.eot?-fvbane	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/themify9f24.eot	(from https://www.brrsoftwares.com/assets/css/themify-icons.css)
11:35:43	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Aug%202020%2013:05:25%20GMT	https://www.brrsoftwares.com/assets/fonts/themify.eot?	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/themifyd41d.eot	(from https://www.brrsoftwares.com/assets/css/themify-icons.css)
11:35:44	56108/56108	---M--	200	added ('OK')	font/woff	date:Wed,%2005%20Aug%202020%2013:05:24%20GMT	https://www.brrsoftwares.com/assets/fonts/themify.woff?-fvbane	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/themify9f24.woff	(from https://www.brrsoftwares.com/assets/css/themify-icons.css)
11:35:45	78584/78584	---M--	200	added ('OK')	font/ttf	date:Wed,%2005%20Aug%202020%2013:05:24%20GMT	https://www.brrsoftwares.com/assets/fonts/themify.ttf?-fvbane	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/themify9f24.ttf	(from https://www.brrsoftwares.com/assets/css/themify-icons.css)
11:35:47	234269/234269	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2005%20Aug%202020%2013:05:23%20GMT	https://www.brrsoftwares.com/assets/fonts/themify.svg?-fvbane	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/themify9f24.svg	(from https://www.brrsoftwares.com/assets/css/themify-icons.css)
11:35:47	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2006:05:47%20GMT	https://www.brrsoftwares.com/assets/img/slider/slider-img-1.jpg	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/slider/slider-img-1.51.delayed	(from https://www.brrsoftwares.com/assets/css/style.css)
11:35:48	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2006:05:48%20GMT	https://www.brrsoftwares.com/assets/img/background-img/bg-img-2.jpg	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/background-img/bg-img-2.52.delayed	(from https://www.brrsoftwares.com/assets/css/style.css)
11:35:49	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2006:05:49%20GMT	https://www.brrsoftwares.com/assets/img/background-img/bg-img-3.jpg	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/background-img/bg-img-3.53.delayed	(from https://www.brrsoftwares.com/assets/css/style.css)
11:35:52	329616/329616	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Aug%202020%2013:07:35%20GMT	https://www.brrsoftwares.com/assets/img/hero/hero2.jpg	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/hero/hero2.jpg	(from https://www.brrsoftwares.com/assets/css/style.css)
11:35:53	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2006:05:53%20GMT	https://www.brrsoftwares.com/assets/img/banner/bradcam.png	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/banner/bradcam.56.delayed	(from https://www.brrsoftwares.com/assets/css/style.css)
11:35:53	620335/620335	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Aug%202020%2013:07:31%20GMT	https://www.brrsoftwares.com/assets/img/hero/h1_hero.jpg	C:/brrReplica/brr/www.brrsoftwares.com/assets/img/hero/h1_hero.jpg	(from https://www.brrsoftwares.com/assets/css/style.css)
